,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價
2883,開發金,20181017,10.3,,,0.004854368932038731,-0.06796116504854378
2884,玉山金,20181228,19.9,,,0.020100502512562922,0.020100502512562922
2885,元大金,20181228,14.15,,,0.09187279151943455,0.09187279151943455
2886,兆豐金,20181126,26.4,,,0.0075757575757576835,-0.03598484848484846
2887,台新金,20181008,14.45,,,0.003460207612456797,-0.09342560553633215
2888,新光金,20181011,10.8,,,0.013888888888888756,-0.16574074074074083
2889,國票金,20181225,9.64,,,0.005186721991701134,-0.004149377593361091
2890,永豐金,20181204,10.7,,,0.004672897196261749,-0.051401869158878406
2891,中信金,20181203,20.75,,,0.0024096385542169015,-0.045783132530120445
2892,第一金,20181002,20.75,,,0.004819277108433803,-0.06506024096385549
2903,遠百,20180717,18.6,,,0.010752688172042972,-0.18817204301075277
2908,特力,20180611,23.85,,,0.004192872117400329,-0.07547169811320757
2912,統一超,20181228,290.0,,,0.07758620689655173,0.07758620689655173
2913,農林,20181210,17.9,,,0.00558659217877103,-0.1284916201117318
2915,潤泰全,20181228,64.7,,,0.22256568778979893,0.22256568778979893
3005,神基,20180104,48.95,,,0.0010214504596526488,-0.28498467824310525
3010,華立,20180413,58.6,,,0.0034129692832763777,-0.17918088737201365
3011,今皓,20180831,10.65,,,0.014084507042253554,-0.3427230046948357
3016,嘉晶,20181228,40.15,,,0.11207970112079702,0.11207970112079702
3018,同開,20180329,88.9,,,0.023622047244094422,-0.7114735658042745
3023,信邦,20180905,92.2,,,0.0021691973969631545,-0.15401301518438182
3025,星通,20181018,24.55,,,0.0081466395112016,-0.32382892057026474
3026,禾伸堂,20181207,119.5,,,0.0041841004184100415,-0.12552301255230125
3028,增你強,20181228,20.9,,,0.007177033492823069,0.007177033492823069
3029,零壹,20180820,22.4,,,0.011160714285714286,-0.1941964285714285
3030,德律,20181005,50.9,,,0.007858546168958714,-0.16502946954813358
3033,威健,20181004,20.65,,,0.00726392251815991,-0.09443099273607745
3034,聯詠,20181228,141.0,,,0.014184397163120567,0.014184397163120567
